Name,Calories,Fat,Saturated Fat,Carbs,Sugar,Fibre,Protein,Salt
Lemon Pepper Chicken with Sweet Potato Mash,372,3,1,51,14,6,38,2
Smoky Basa with Mixed Greens and Chive Butter Sauce,340,16,9,27,4,6,23,1
Speedy Greek-Style Haddock Salad,372,12,4,36,6,5,30,2
Cheesy Baked Basa with mediterranean Veg,419,10,6,54,12,7,31,1
Smoky Basa & Sweet Potato Curry with Brown Rice,546,21,18,68,12,9,26,2
"Warm Chorizo, Lentil & White Bean Salad",471,19,6,43,10,13,28,3
Cheesy BBQ Chicken 'N' Chips,444,10,5,50,10,6,41,1
Easy Chicken Biryani,529,5,2,77,24,5,44,2
Homemade Fish Goujons & Cheesy Beans,638,15,7,87,16,12,39,2
Smoky Fishcakes with Wilted Greens and Curried Mayo,518,23,4,53,5,5,26,2
Baharat Beef Stew with Fruity Couscous,737,24,9,80,22,14,45,2
Aromatic Tandoori Chicken with Rice Salad,553,16,3,63,8,4,41,1
Moroccan-Style Chicken & Squash with Couscous Salad,430,4,1,55,18,8,31,2
Chicken Satay with Pickled Chilli Cucumber,563,22,10,48,10,7,41,2
Creamy Pesto Salmon Pasty with Chips & Salad,689,39,15,62,5,7,23,1
Creamy Chicken Potato-Topped Pie,453,9,5,55,13,11,40,2
One-Pot Chicken Rogan Josh with Yoghurt,510,7,2,67,17,7,45,2
Fragrant Chicken Balti with Brown Rice,447,5,1,65,13,8,39,1
Tomato & Pulled Chicken Potato-Topped Pie,453,3,1,67,20,12,43,2
Indonesian-Style Chiken & Mushroom Rice with Satay Sauce,490,10,1,57,4,3,43,3
"Speedy Sausage, Leek & Egg Hash",582,32,10,46,13,8,30,2
"Creamy Chicken, Mushroom & Chive Risotto",659,24,14,68,3,3,39,2
Herby Smoked Basa & Leek Pie,524,27,16,39,9,8,25,2
Lemon & Thyme Summer Roast Chicken with Dijon Dressing,348,3,1,44,16,10,39,1
Lemon Baked Basa with Spinach Mornay,431,17,11,40,2,5,33,1
Warm Lemony Beef Tabbouleh,558,18,8,66,13,13,36,1
Sticky Sweet Chili Pork with Rice,618,25,9,64,11,5,33,2
